location,latitude,longitude,WindSpeed9am
Adelaide,34.9285,138.6007,11
Albany,35.0268,117.8837,13
Albury,36.0751,146.9095,6
AliceSprings,23.698,133.8807,7
BadgerysCreek,33.8751,150.7634,6
Ballarat,37.5622,143.8503,17
Bendigo,36.7596,144.2786,13
Brisbane,27.4705,153.026,6
Cairns,16.9203,145.771,11
Canberra,35.2802,149.131,19
Cobar,31.4978,145.8363,9
CoffsHarbour,30.2962,153.1139,7
Dartmoor,37.9224,141.2754,7
Darwin,12.4637,130.8444,22
GoldCoast,28.0167,153.4,20
Hobart,42.8826,147.3257,15
Katherine,14.452,132.2699,24
Launceston,41.4391,147.1358,19
MelbournAirport,37.6709,144.8433,7
Melbourne,37.8136,144.9631,11
Mildura,34.2069,142.1367,13
Moree,29.4653,149.8416,28
MountGambier,37.8256,140.7712,13
MountGinini,35.5294,148.7723,15
Newcastle,32.9283,151.7817,0
Nhil,36.3328,141.6503,19
NorahHead,33.2822,151.5669,0
NorfolkIsland,29.0408,167.9547,24
Nuriootpa,34.473,138.9957,17
PearceRAAF,31.6676,116.0292,19
Penrith,33.7507,150.6877,6
Perth,31.9523,115.8613,11
PerthAirport,31.9385,115.9672,15
Portland,45.5152,122.6784,24
Richmond,37.8239,144.9983,9
Sale,38.1051,147.068,13
SalmonGums,32.9804,121.6456,17
Sydney,33.8688,151.2093,17
SydneyAirport,33.95,151.1819,22
Townsville,19.259,146.8169,11
Tuggeranong,35.4244,149.0888,13
Uluru,25.3444,131.0369,24
WaggaWagga,35.1026,147.3655,2
Walpole,34.9762,116.7313,11
Watsonia,37.7101,145.0828,11
Williamtown,32.8115,151.8443,6
Witchcliffe,34.0262,115.1002,20
Wollongong,34.4248,150.8931,30
Woomera,31.1988,136.8251,22
